"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\pom.xml", "XML", 0, 13, 0, 3, 16
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\Constants.java", "Java", 47, 0, 9, 9, 65
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\Main.java", "Java", 64, 0, 11, 13, 88
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\creatures\ArmorClass.java", "Java", 227, 0, 9, 67, 303
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\creatures\Creature.java", "Java", 654, 0, 39, 197, 890
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\creatures\Equipment.java", "Java", 152, 0, 12, 33, 197
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\creatures\PartyPlayers.java", "Java", 75, 0, 1, 15, 91
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\creatures\PlayableCharacter.java", "Java", 32, 0, 8, 25, 65
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\ArmorAbstract.java", "Java", 43, 0, 0, 19, 62
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\Item.java", "Java", 38, 0, 6, 21, 65
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\WeaponAbstract.java", "Java", 215, 0, 23, 70, 308
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\BreastPlate.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\ChainMail.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\ChainShirt.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\HalfPlateArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\HideArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\LeatherArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\PaddedArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\PlateArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\RingMail.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\ScaleMail.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\ShieldArmor.java", "Java", 21, 0, 0, 9, 30
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\SplintArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\armor\StuddedLeatherArmor.java", "Java", 14, 0, 0, 4, 18
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Battleaxe.java", "Java", 24, 0, 0, 4, 28
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Blowgun.java", "Java", 21, 0, 0, 5, 26
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Club.java", "Java", 23, 0, 0, 5, 28
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Dagger.java", "Java", 25, 0, 0, 4, 29
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Dart.java", "Java", 24, 0, 0, 5, 29
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Flail.java", "Java", 22, 0, 0, 4, 26
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Glaive.java", "Java", 26, 0, 0, 5, 31
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Greataxe.java", "Java", 24, 0, 0, 5, 29
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Greatclub.java", "Java", 24, 0, 0, 5, 29
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Greatsword.java", "Java", 24, 0, 0, 5, 29
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\equipment\weapons\Halbred.java", "Java", 26, 0, 0, 5, 31
